company_name,province,publication_date,start_of_operations,corporate_purpose,registered_address,share_capital_eur,registry_reference,borme_entry_number,source_url
"KARIKO FRUIT, SOCIEDAD LIMITADA",CIUDAD REAL,2026-09-17,2026-08-19,"a) La producción, cultivo, explotación, gestión y aprovechamiento de explotaciones agrícolas, propias o de terceros. b) La producción, recolección, clasificación, manipulación, calibrado, selección, limpieza, conservación, almacenamiento, transformación, envasado y comercialización de frutas, hortal","C/ POZO DE LA NIEVE, 5 (MEMBRILLA)",3000.00,"S 8 , H CR 36286, I/A 1 ( 8.09.26)",417426,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-13.pdf
ANCA LA RO SL,CÓRDOBA,2026-09-17,2026-08-25,"Comercio al por menor de pan, pastelería, confitería y similares CNAE 47.24, que constituye su actividad principal, Como actividades secundarias se establecen: otros, cafés y bares. La enumeración de los fines mencionados no presupone el inmediato desenvolvimiento, ni la simultaneidad de los mismos,","C/ ARQUILLA, 10 14940 (CABRA)",9000.00,"S 8 , H CO 49497, I/A 1 (10.09.26)",417462,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-14.pdf
AGROLYTICA SL,CÓRDOBA,2026-09-17,2026-09-03,"El CNAE que más se adapta al objeto principal es 46.21. El comercio al por mayor de cereales, simientes, plantas, abonos, sustancias fertilizantes y alimentos para animales. El comercio al por menor de semillas, plantas, abonos, fertilizantes y demás productos relacionados con la actividad agrícola,","C/ LAS PERDICES, 4- URBANIZACION LAS LOMAS DEL REY, (CARLOTA (LA))",42100.00,"S 8 , H CO 49498, I/A 1 (10.09.26)",417463,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-14.pdf
VERISYS DIGITAL LABS SL,CÓRDOBA,2026-09-17,2026-09-09,"Actividad principal: 62.10 / Actividades de programación informática. Otras actividades: 46.50 / Comercio al por mayor de equipos para las tecnologías de la información y las comunicaciones, 47.40 / Comercio al por menor de equipos para las tecnologías de la información y las comunicaciones, 58.29 /","C/ FUENTE OBEJUNA, 17 14005 (CORDOBA)",3000.00,"S 8 , H CO 49502, I/A 1 (10.09.26)",417469,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-14.pdf
CODING DREAMS TECHNOLOGIES SL,CÓRDOBA,2026-09-17,2026-08-27,"58.29 Edición de otros programas informáticos. 62.01 Actividades de programación informática. 62.02 actividades de consultoría informática. 62.03 Gestión de recursos informáticos. 62.09 Otros servicios relacionados con las tecnologías de la información y la informática. 63.11 Proceso de datos, hosti","C/ ANGELA ROMERO DE TORRES, 1 Ptl.A 1º 18 14010 (CORDOBA)",3000.00,"S 8 , H CO 49504, I/A 1 (11.09.26)",417471,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-14.pdf
"RIBEIRA SACRA DIOMONDI, S.L.(R.M. A CORUÑA)",A CORUÑA,2026-09-17,2023-06-23,"1. La adquisición, tenencia, disfrute, disposición, administración, gestión, dirección y explotación de toda clase de glamping, camping, alojamientos turísticos, rurales y extrahoteleros, hoteles y hostales, servicios de café bar, restaurantes, supermercados, comercio y distribución de comida y bebi","RONDA DE OUTEIRO, 62 ENTERPLA I 15009 (CORUÑA (A))",3000.00,"T 3816 , F 1, S 8, H C 63410, I/A 1 ( 4.07.23)",417484,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-15.pdf
"LUMASOL SERVICIOS Y GESTION, S.L.(R.M. A CORUÑA)",A CORUÑA,2026-09-17,2026-08-06,"a) La prestación de servicios de mantenimiento de extintores, electricidad, contraincendios, seguridad, prestación de servicios de seguridad en relación con la extinción de fuego. Las instalaciones eléctricas en general, y todo lo relacionado con estas actividades. b) La adquisición, tenencia, admin","C/ VICENTE ALEIXANDRE, 55 BAJO IZDA 15009 (CORUÑA (A))",50000.00,"S 8 , H C 68501, I/A 1 (10.09.26)",417487,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-15.pdf
"THE CH SHOWROOM, S.L.(R.M. A CORUÑA)",A CORUÑA,2026-09-17,2026-08-07,"a) La intermediación, distribución, comercialización, importación, exportación, compra, venta, al por mayor y al por menor, tanto de forma presencial como por medios electrónicos, de toda clase de prendas de vestir, artículos textiles, calzado, complementos, accesorios de moda, marroquinería, bisute","CTRA NACIONAL VI-KM 528, ESPIRITUSANTO 15068 (SADA)",3000.00,"S 8 , H C 68515, I/A 1 (10.09.26)",417489,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-15.pdf
"FAMILIA420GROW, SOCIEDAD LIMITADA(R.M. A CORUÑA)",A CORUÑA,2026-09-17,2026-08-04,"- Comercio al por menor de flores, plantas, semillas y fertilizantes. - Comercio al por menor de bebidas. Explotación de establecimientos dedicados al comercio al por menor de productos derivados del cáñamo y CBD legales, complementos alimenticios, perfumería, droguería, semillas, plantas, accesorio","RONDA DE OUTEIRO, 304 BAJO DERE 15011 (CORUÑA (A))",3000.00,"S 8 , H C 68540, I/A 1 ( 9.09.26)",417492,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-15.pdf
LOGRO ATALAYA SOCIEDAD LIMITADA,CUENCA,2026-09-17,2026-02-17,Comercio de energía eléctrica,"CTRA MADRID- VALENCIA, 14 16435 (HINOJOSA (LA))",3000.00,"S 8 , H CU 13769, I/A 1 ( 8.09.26)",417560,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-16.pdf
GALERA AREAS DE SERVICIO SOCIEDAD LIMITADA,CUENCA,2026-09-17,2026-07-23,"La explotación, gestión y administración de estaciones de servicio y demás instalaciones destinadas al suministro de carburantes para la automoción; el comercio al por menor y suministro de gasolinas, gasóleos, biocarburantes, hidrógeno y demás carburantes, fósiles o libres de carbono","CTRA DE VALENCIA, 5 D 16210 (CAMPILLO DE ALTOBUEY)",3000.00,"S 8 , H CU 13776, I/A 1 (10.09.26). BOLETÍN OFICIAL DEL REGISTRO MERCANTIL Núm. 180 Jueves 17 de septiembre de 2026 Pág. 43982 cve: BORME-A-2026-180-16Verificable en https://www.boe.es https://www.boe.es BOLETÍN OFICIAL DEL REGISTRO MERCANTIL D.L.: M-5188/1990 - ISSN: 0214-9958",417561,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-16.pdf
LAURES 2010 SOCIEDAD LIMITADA,GRANADA,2026-09-17,2026-08-31,"Constituye la actividad principal de la Sociedad es 49.41 transporte de mercancías por carretera. Las actividades anteriores también podrán ser desarrolladas por la Sociedad, total o parcialmente de modo indirecto, mediante la participación en otras sociedades con objeto análogo o idéntico","TRVA MANUEL PEÑA ALTA B, 5 BAJO 18600 (MOTRIL)",3000.00,"S 8 , H GR 65650, I/A 1 (10.09.26)",417674,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-18.pdf
PROTECTION DATA KAIZEN SOCIEDAD LIMITADA,GRANADA,2026-09-17,2026-06-24,"1) La mediación en todo tipo de gestiones en materia empresarial, así como la prestación de servicios de asesoramiento tales como: a) Asesoramiento administrativo contable.- b) Asesoramiento jurídico general.- c) Asesoramiento laboral.- d) Llevanza de contabilidades","PASEO DEL VIOLON, 6 BAJO 18006 (GRANADA)",3000.00,"S 8 , H GR 65651, I/A 1 (10.09.26). BOLETÍN OFICIAL DEL REGISTRO MERCANTIL Núm. 180 Jueves 17 de septiembre de 2026 Pág. 43983 cve: BORME-A-2026-180-18Verificable en https://www.boe.es",417677,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-18.pdf
CUEVA SALAS SOCIEDAD LIMITADA,GRANADA,2026-09-17,2026-08-10,La sociedad tendrá por objeto las siguientes actividades: Actividad Principal: La Agricultura y todo lo relacionado con la misma,"C/ AMARRAS-RESIDENCIAL VIRGINIA, NUMERO 13, CASTEL (GUALCHOS)",3010.00,"S 8 , H GR 65652, I/A 1 (10.09.26)",417679,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-18.pdf
EIBAR CF BOX SL,GIPUZKOA,2026-09-17,2026-05-14,"Actividades dirigidas a la mejora de salud y bienestar de las personas. Dichas actividades comprenden tanto actividades físicas como terapéuticas y formativas. Las actividades a realizar serán gimnasio, pilates, crossfit y cualquier otro tipo de modalidad dirigida a mejorar la salud y etc","AVDA OTAOLA 5, LOCAL 3. (EIBAR)",3000.00,"S 8 , H SS 49950, I/A 1 ( 8.09.26)",417567,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-20.pdf
TAHONA PUIANA SL,GIPUZKOA,2026-09-17,2026-07-30,"El comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos (CNAE 4724).- El comercio al por menor de leche y productos lácteos","C/ PUIANA Nº26, BAJO DCHA. (IRUN)",3000.00,"S 8 , H SS 49952, I/A 1 ( 8.09.26)",417574,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-20.pdf
ILARGI CAPITAL SL,GIPUZKOA,2026-09-17,2026-08-07,"La adquisición, tenencia, disfrute, administración, gestión y enajenación de acciones, participaciones sociales o cualquier otro título representativo del capital social de entidades mercantiles, residentes o no en territorio español, mediante la correspondiente organización de medios etc","C/ HERNANI Nº15, 1ºIZDA. (DONOSTIA-SAN SEBASTIAN)",3000.00,"S 8 , H SS 49954, I/A 1 ( 8.09.26)",417583,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-20.pdf
KAMIO MUSIKA SL,GIPUZKOA,2026-09-17,2026-07-03,"Actividades de grabación de sonido y edición musical: Creación y difusión de actividades musicales, creación de espectáculos musicales. Reproducción de so-portes grabados: Edición de soportes grabados de sonido, video y de informática, tema de digitalización de contenidos. Etc.,","C/ MATXIÑENE Nº10, 1º DCHA. (DONOSTIA-SAN SEBASTIAN)",3100.00,"S 8 , H SS 49956, I/A 1 (10.09.26)",417596,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-20.pdf
CANO E HIJAS INVERSIONES SL,HUELVA,2026-09-17,2026-05-01,La sociedad tendrá por objeto: Compraventa de bienes inmobiliarios por cuenta propia -68.11-. Actividades inmobiliarias por cuenta propia y promoción inmobiliaria -68.1-. Otras actividades de construcción especializada n.c.o.p. -43.99-. Construcción de edificios -41.0-. Igualmente podrá participar e,"CTRA DE CALAÑAS, 57 21600 (VALVERDE DEL CAMINO)",6600.00,"S 8 , H H 31041, I/A 1 ( 9.09.26)",417688,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-21.pdf
SERVICIOS AGRICOLAS DNV SL,HUELVA,2026-09-17,2026-08-11,Actividades de apoyo a la agricultura,FINCA DEHESA EL TURMAL-PARCELA 3. POLIGONO 93 2173 (ALMONTE),3000.00,"S 8 , H H 31043, I/A 1 ( 9.09.26)",417692,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-21.pdf
KPA APARTMENT SL,HUELVA,2026-09-17,2026-08-06,Alquiler de bienes inmobiliarios por cuenta propia,"C/ MARTIN ALONSO PINZON, 99 21810 (PALOS DE LA FRONTERA)",31250.00,"S 8 , H H 31044, I/A 1 ( 9.09.26)",417694,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-21.pdf
CONSTRUCCIONES Y REFORMAS IRMA 1969 SL,HUELVA,2026-09-17,2026-09-07,-Construcción de edificios residenciales -CNAE 41.01-. -Construcción de edificios no residenciales -CNAE 41.02-. -Construcción de carreteras y autopistas -CNAE 42.11-. -Construcción de vías férreas de superficie y subterráneas -CNAE 42.12-. -Construcción de puentes y túneles -CNAE 42.13-. -Construcc,"C/ CONDE DE VALLELLANO, 21 21410 (ISLA CRISTINA)",3000.00,"S 8 , H H 31045, I/A 1 ( 9.09.26)",417702,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-21.pdf
CARPINTERIA Y EBANISTERIA FTR SOCIEDAD LIMITADA,LA RIOJA,2026-09-17,2026-07-16,"La instalación de carpintería, comprendiendo el montaje, reparación, sustitución, adaptación y reforma de muebles, puertas, suelos, cocinas, armarios, revestimientos y cualesquiera otros elementos de carpintería de madera o materiales análogos. La preparación y colocación de solados y pavimentos de","C/ RIO EBRO, 19 BAJO C 26140 (LARDERO)",500.00,"S 8 , H LO 22017, I/A 1 (10.09.26)",417722,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-26.pdf
TU PREPARADOR ACADEMIA DE OPOSICIONES SOCIEDAD LIMITADA,LA RIOJA,2026-09-17,2026-09-03,"La enseñanza y formación no reglada, presencial y/o a distancia, especialmente la preparación de oposiciones, exámenes, pruebas selectivas y procesos de acceso al empleo público, así como la elaboración y comercialización de material didáctico relacionado con dichas actividades. Pudiendo realizar ad","C/ ELOY ALFARO, 12 (CERVERA DEL RIO ALHAMA)",3000.00,"S 8 , H LO 22031, I/A 1 (10.09.26)",417725,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-26.pdf
MOHE SALUD SLP,LA RIOJA,2026-09-17,2026-06-23,"La prestación de servicios propios de fisioterapeuta, todoello ya través de los correspondientes profesionales titulados. El objeto social podrá desarrollarse mediante su participación en otras Sociedades profesionales.Que dan excluidas del objeto social todas aquellas actividades para cuyo ejerci","C/ VELEZ DE GUEVARA, 35-BAJO 6 (LOGROÑO)",15000.00,"S 8 , H LO 22032, I/A 1 (10.09.26). BOLETÍN OFICIAL DEL REGISTRO MERCANTIL Núm. 180 Jueves 17 de septiembre de 2026 Pág. 43996 cve: BORME-A-2026-180-26Verificable en https://www.boe.es https://www.boe.es BOLETÍN OFICIAL DEL REGISTRO MERCANTIL D.L.: M-5188/1990 - ISSN: 0214-9958",417727,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-26.pdf
JUANCA & LOMAR MADERERA SL,LUGO,2026-09-17,2026-08-10,"Silvicultura y otras actividades forestales (cultivo y conservación) (CNAE 0210). Y, asimismo, los siguientes: - Explotación de la madera (tala y obtención de productos) (CNAE 0220). - Servicios de apoyo a la silvicultura (CNAE 0240). - Reparación y mantenimiento de maquinaria (CNAE 3312). - Comerci","AVDA CALVO SOTELO, 90 27400 (MONFORTE DE LEMOS)",13978.00,"S 8 , H LU 23270, I/A 1 ( 7.09.26)",417772,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-27.pdf
PETIS FORMACION SL,LUGO,2026-09-17,2026-09-01,"1. Otra educación n.c.o.p. (ACTIVIDAD PRINCIPAL CNAE 8559); Transporte de mercancía por carretera(CNAE 4941); Mecanizado de metales (CNAE 2553); Alquiler de maquinaria y equipo para la construcción e ingeniería civil (CNAE 7732); Comercio al por mayor de madera, materiales de construcción y aparatos","LUGAR FONTEVELLA. LANZOS, 6 27816 (VILALBA)",3000.00,"S 8 , H LU 23273, I/A 1 ( 7.09.26)",417774,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-27.pdf
LUBRE PATRIMONIAL SL,LUGO,2026-09-17,2026-07-30,La Compraventa de bienes inmobiliarios por cuenta propia (CNAE 68.11) objeto principal. = Promoción inmobiliaria (CNAE 68.12). = Alquiler de bienes inmobiliarios por cuenta propia (CNAE 68.20). = Servicios de intermediación para actividades inmobiliarias (CNAE 68.31). = Construcción de edificios res,"C/ PRIMAVERA, 42 6º C 27002 (LUGO)",103000.00,"S 8 , H LU 23276, I/A 1 (10.09.26)",417776,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-27.pdf
A COVA DO COXO SL,LUGO,2026-09-17,2026-06-19,"La Sociedad tiene como objeto social el desarrollo de las siguientes actividades: La elaboración, crianza, embotellado y comercialización de vinos y demás productos vitivinícolas. El cultivo de la vid y la producción de uva y demás materias primas vitivinícolas. La compraventa, importación, exporta","PLAZA SANTA ANA, 10 27500 (CHANTADA)",120000.00,"S 8 , H LU 23277, I/A 1 (10.09.26)",417780,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-27.pdf
BARLQ EVENT OPERATIONS SL,MADRID,2026-09-17,2026-07-06,"MONTAJE, DESMONTAJE DE BARRAS PERSONAL E INTERMEDIACION CON MARCAS DE ALCOHOLES FOOD TRUCKS",C/ AGUARON 29 Esc.DC 3 E (MADRID),3000.00,"S 8 , H M 896031, I/A 1 (10.09.26)",417805,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-28.pdf
SANTA LONGORIA SL,MADRID,2026-09-17,2026-07-09,Servicios de transporte de pasajeros bajo demanda en vehículos con conductor. Alquiler de bienes inmobiliarios por cuenta propia.. Otros servicios de alojamiento,C/ MANUEL GONZALEZ LONGORIA 3 - PLANTA 4ª (MADRID),3000.00,"S 8 , H M 896859, I/A 1 (10.09.26)",417815,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-28.pdf
ABOUND SPAIN SL,MADRID,2026-09-17,2026-07-30,"La concesión, por cuenta propia, de préstamos y créditos no hipotecarios, incluidos préstamos personales y al consumo; la gestión, administración, seguimiento, cobro y recobro de créditos y carteras propias y ajenas; la cesión do créditos propios",C/ VICENTE ALEIXANDRE 1 (ROZAS DE MADRID (LAS)),3100.00,"S 8 , H M 896866, I/A 1 (10.09.26). BOLETÍN OFICIAL DEL REGISTRO MERCANTIL Núm. 180 Jueves 17 de septiembre de 2026 Pág. 44001 cve: BORME-A-2026-180-28Verificable en https://www.boe.es",417818,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-28.pdf
BENDITA TENTACION SL,MADRID,2026-09-17,2026-09-03,"Comercialización de heladerías, cafeterías, restaurantes, comida para llevar, pizzerías, repostería, panadería, confitería, chocolatería, comida ciega. Comercialización de comida para fiestas, banquetes y todo tipo de eventos Comercialización de todo tipo de bebidas, servidas en mesa, en barra o en",C/ ALCALA 414 - SEMISOTANO LOCAL 6 (MADRID),3000.00,"S 8 , H M 896008, I/A 1 (10.09.26)",417823,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-28.pdf
